month,group_id,segment,course_type,assigned_teacher,students_count,session_min,lessons_per_session_60min,sessions_per_week,sessions_per_month,lessons_60min_per_month,price_per_lesson_60min_usd,price_per_lesson_60min_uah,course_usd,rev_per_student_pm_usd,total_rev_usd,total_rev_uah,teacher_rate_60min_usd,teacher_cost_rate_usd,cac_model,cac_group_usd,cac_amortized_pm_usd,total_cac_pm_usd,contract_months,teacher_fixed_cost_usd,total_cost_usd,profit_usd,margin_pct,breakeven_students,profitability_color,revenue_usd,opex_allocated_usd,teacher_tax_pdfo_usd,teacher_tax_vz_usd,teacher_tax_total_usd,accounting_usd,total_cost_v11_usd,profit_v11_usd,margin_v11_pct,profitability_color_v11
2025-04,G0001,B2B,Business Starter,T001,9,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1744.47,72395.51,10.5,204.75,per_group,350,175.0,175.0,2,204.75,379.75,1364.72,78.23,2.06,green,1744.47,357.62,10.24,2.05,12.29,6.4267,756.09,988.38,56.66,orange
2025-04,G0002,B2B,Business Starter,T001,10,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1938.3,80439.45,10.5,204.75,per_group,350,175.0,175.0,2,204.75,379.75,1558.55,80.41,2.06,green,1938.3,397.35,10.24,2.05,12.29,6.4267,795.82,1142.48,58.94,orange
2025-04,G0003,B2B,Business Starter,T001,10,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1938.3,80439.45,10.5,204.75,per_group,350,175.0,175.0,2,204.75,379.75,1558.55,80.41,2.06,green,1938.3,397.35,10.24,2.05,12.29,6.4267,795.82,1142.48,58.94,orange
2025-04,G0004,B2B,Business Starter,T002,10,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1938.3,80439.45,10.8,210.6,per_group,350,175.0,175.0,2,210.6,385.6,1552.7,80.11,2.09,green,1938.3,397.35,10.53,2.11,12.64,6.4267,802.02,1136.28,58.62,orange
2025-04,G0005,B2B,Business Starter,T002,10,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1938.3,80439.45,10.8,210.6,per_group,350,175.0,175.0,2,210.6,385.6,1552.7,80.11,2.09,green,1938.3,397.35,10.53,2.11,12.64,6.4267,802.02,1136.28,58.62,orange
2025-04,G0006,B2B,Business Starter,T002,9,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1744.47,72395.51,10.8,210.6,per_group,350,175.0,175.0,2,210.6,385.6,1358.87,77.9,2.09,green,1744.47,357.62,10.53,2.11,12.64,6.4267,762.29,982.18,56.3,orange
2025-04,G0007,B2B,Business Starter,T003,9,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1744.47,72395.51,10.2,198.9,per_group,350,175.0,175.0,2,198.9,373.9,1370.57,78.57,2.02,green,1744.47,357.62,9.95,1.99,11.94,6.4267,749.89,994.58,57.01,orange
2025-04,G0008,B2B,Business Starter,T003,10,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1938.3,80439.45,10.2,198.9,per_group,350,175.0,175.0,2,198.9,373.9,1564.4,80.71,2.02,green,1938.3,397.35,9.95,1.99,11.94,6.4267,789.62,1148.68,59.26,orange
2025-04,G0009,B2B,Business Starter,T003,9,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1744.47,72395.51,10.2,198.9,per_group,350,175.0,175.0,2,198.9,373.9,1370.57,78.57,2.02,green,1744.47,357.62,9.95,1.99,11.94,6.4267,749.89,994.58,57.01,orange
2025-04,G0010,B2B,Business Starter,T004,10,90,1.5,3,13,19.5,9.94,412.51,387.66,193.83,1938.3,80439.45,9.9,193.05,per_group,350,175.0,175.0,2,193.05,368.05,1570.25,81.01,1.98,green,1938.3,397.35,9.65,1.93,11.58,4.82,781.8,1156.5,59.67,orange
